,price0,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23
0,4297000.0,4302000.0,4303000.0,4304000.0,4308000.0,4320000.0,4322000.0,4320000.0,4305000.0,4317000.0,4334000.0,4342000.0,4380000.0,4333000.0,4346000.0,4318000.0,4345000.0,4366000.0,4369000.0,4367000.0,4380000.0,4397000.0,4385000.0,4377000.0
1,4377000.0,4361000.0,4363000.0,4373000.0,4364000.0,4367000.0,4362000.0,4377000.0,4356000.0,4322000.0,4351000.0,4348000.0,4361000.0,4395000.0,4394000.0,4408000.0,4411000.0,4437000.0,4432000.0,4450000.0,4497000.0,4509000.0,4514000.0,4491000.0
2,4527000.0,4505000.0,4514000.0,4519000.0,4564000.0,4576000.0,4546000.0,4591000.0,4596000.0,4657000.0,4626000.0,4620000.0,4632000.0,4740000.0,4760000.0,4728000.0,4755000.0,4729000.0,4737000.0,4764000.0,4600000.0,4632000.0,4659000.0,4639000.0
3,4560000.0,4558000.0,4590000.0,4609000.0,4587000.0,4550000.0,4581000.0,4610000.0,4608000.0,4586000.0,4629000.0,4548000.0,4530000.0,4541000.0,4544000.0,4541000.0,4563000.0,4604000.0,4610000.0,4618000.0,4663000.0,4684000.0,4690000.0,4677000.0
4,4670000.0,4656000.0,4678000.0,4657000.0,4655000.0,4666000.0,4679000.0,4679000.0,4638000.0,4657000.0,4672000.0,4701000.0,4706000.0,4694000.0,4711000.0,4736000.0,4764000.0,4774000.0,4754000.0,4743000.0,4750000.0,4749000.0,4753000.0,4770000.0
5,4788000.0,4803000.0,4789000.0,4792000.0,4806000.0,4826000.0,4847000.0,4850000.0,4863000.0,4889000.0,4905000.0,4919000.0,4832000.0,4864000.0,4844000.0,4869000.0,4875000.0,4883000.0,4875000.0,4879000.0,4901000.0,4913000.0,4883000.0,4870000.0
6,4880000.0,4893000.0,4891000.0,4885000.0,4895000.0,4899000.0,4917000.0,4934000.0,4972000.0,4962000.0,5003000.0,5004000.0,5017000.0,5020000.0,5040000.0,5083000.0,5072000.0,5040000.0,5076000.0,5088000.0,5078000.0,4998000.0,5019000.0,5036000.0
7,5053000.0,5006000.0,5031000.0,5010000.0,5032000.0,5046000.0,5036000.0,5021000.0,5014000.0,5021000.0,5010000.0,5023000.0,5046000.0,5047000.0,5041000.0,5025000.0,5028000.0,4919000.0,4975000.0,4928000.0,4936000.0,4913000.0,4880000.0,4870000.0
8,4904000.0,4923000.0,4897000.0,4905000.0,4913000.0,4893000.0,4913000.0,4907000.0,4969000.0,4987000.0,4943000.0,4927000.0,4912000.0,4952000.0,4931000.0,4997000.0,4978000.0,4974000.0,4952000.0,4926000.0,4919000.0,4925000.0,4873000.0,4904000.0
9,4887000.0,4899000.0,4894000.0,4855000.0,4887000.0,4888000.0,4891000.0,4877000.0,4900000.0,4894000.0,4890000.0,4916000.0,4868000.0,4858000.0,4829000.0,4812000.0,4839000.0,4839000.0,4839000.0,4877000.0,4937000.0,4903000.0,4985000.0,4960000.0
