,open,high,low,close,volume,value
2021-10-16 00:00:00,198200.0,198900.0,193950.0,196300.0,102519.67641044,20041941214.270355
2021-10-16 01:00:00,196550.0,199300.0,195500.0,198100.0,62606.75860703,12336995263.520998
2021-10-16 02:00:00,198100.0,198650.0,195950.0,196850.0,25485.44307284,5028628298.212506
2021-10-16 03:00:00,197000.0,199900.0,196450.0,197000.0,15974.71155422,3164717130.894242
2021-10-16 04:00:00,197000.0,197100.0,194750.0,195800.0,14129.9854836,2766160778.255824
2021-10-16 05:00:00,195800.0,199000.0,195000.0,198450.0,14818.15574046,2918917807.6955423
2021-10-16 06:00:00,198450.0,199000.0,195350.0,195450.0,25864.86714991,5086883873.18985
2021-10-16 07:00:00,195400.0,198200.0,194600.0,198000.0,56594.53692823,11113704299.908442
2021-10-16 08:00:00,198000.0,204500.0,197000.0,201000.0,150707.30489082,30224718600.850506
2021-10-16 09:00:00,201000.0,202650.0,194500.0,195550.0,119257.55262173,23526390590.447548
2021-10-16 10:00:00,195600.0,197000.0,194750.0,195450.0,38580.0181339,7550846705.19625
2021-10-16 11:00:00,195500.0,196150.0,194750.0,195550.0,19787.20866326,3866677921.4136057
2021-10-16 12:00:00,195550.0,196600.0,193650.0,194150.0,87072.78145705,16981337088.812191
2021-10-16 13:00:00,194150.0,195150.0,192850.0,193600.0,62552.88172652,12129922511.50126
2021-10-16 14:00:00,193650.0,195450.0,193650.0,194650.0,18508.62633299,3601655107.4552984
2021-10-16 15:00:00,194600.0,195500.0,194150.0,195300.0,13412.37074943,2614695368.2303786
2021-10-16 16:00:00,195300.0,195300.0,193400.0,193750.0,21920.72604626,4251475391.6291056
2021-10-16 17:00:00,193750.0,196400.0,193450.0,196200.0,23041.82130259,4494232376.985138
2021-10-16 18:00:00,196200.0,198900.0,195150.0,198100.0,29302.27991054,5783752698.540852
2021-10-16 19:00:00,198100.0,202900.0,198000.0,198900.0,107124.22557926,21519202340.064365
2021-10-16 20:00:00,198900.0,200050.0,197500.0,198000.0,36028.73461739,7156922113.010471
