,price0,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,original_price0,original_price9
0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4317000.0,4297000.0,4317000.0
1,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4317000.0,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4314842.5787106445,4377000.0,4322000.0
2,4462712.440900866,4457318.46298818,4464175.888219081,4458900.894853283,4512589.717973277,4521346.379706872,4496853.361489819,4525803.582102027,4552574.952193325,4649287.804038749,4587557.290074797,4584768.333404595,4314842.5787106445,4653550.357926839,4674249.129417995,4628079.789506336,4651343.564218798,4598803.370458111,4611780.075666138,4619305.628084834,4413670.416292855,4432546.201948926,4453445.187021022,4457037.346390265,4527000.0,4657000.0
3,4495243.810582714,4509757.503729218,4539337.024130612,4547703.966448059,4535330.63898848,4493409.083184536,4531474.977779336,4544533.764646121,4564461.570867459,4576116.180456741,4590532.359653315,4511060.73963938,4217716.701882219,4455950.693936309,4459909.275221288,4442809.27855038,4461297.296149024,4475006.189940864,4485893.180440466,4475501.136398093,4474118.511124691,4482307.083317955,4483077.468797724,4493546.813767465,4560000.0,4586000.0
4,4603681.709522209,4606720.258306985,4626365.707817648,4595065.60463194,4602564.666337775,4491163.501433819,4628415.503389983,4612553.901253623,4594178.117552794,4573829.265823829,4633175.023612074,4508806.336471145,4215608.897433503,4453723.832020299,4457680.435003786,4440588.98405835,4459067.762267889,4472769.805038345,4483651.354763084,4473264.50414602,4557594.451606751,4544508.185029242,4543297.912408439,4582898.9312958745,4670000.0,4657000.0
5,4720006.00111185,4752164.390173635,4736140.524741068,4728270.212024105,4751863.756481063,4645168.250732878,4794599.261579664,4781125.5441504745,4817052.217692806,4801685.909515289,4864238.760876973,4717893.718166679,4328479.003909622,4615021.883030834,4583528.768235691,4565293.024362355,4562962.91793786,4574892.115207843,4597770.373258316,4601530.153010421,4702477.980489409,4701446.34934695,4667562.319859123,4678976.477025348,4788000.0,4889000.0
6,4810699.516588518,4841211.817847095,4837014.680832859,4820033.386005374,4839861.233452934,4715432.917600574,4863842.494158698,4863932.666976999,4925022.337316191,4873382.181021653,4961424.367108562,4799418.614699342,4494200.985640434,4763036.565134618,4768989.469840603,4765944.638084586,4747353.419442221,4721985.717929045,4787339.982494198,4798644.275162334,4872308.342159808,4782786.251584787,4797562.007653683,4838465.202936274,4880000.0,4962000.0
7,4981242.757647906,4953015.81037044,4975469.404880416,4943370.985442564,4975318.023847838,4856924.781019085,4981555.989543055,4949697.187047326,4966625.50267566,4931328.482650085,4968366.196125104,4817641.826865467,4520179.026019858,4788654.49088335,4769935.697910016,4709206.643807172,4703816.669254536,4606316.27432931,4689737.569878286,4645419.640036553,4733692.225268287,4699095.626172276,4662362.33234734,4676636.988786835,5053000.0,5021000.0
8,4831941.5151916845,4868458.8465913795,4840526.980493251,4837347.518214366,4855229.646748578,4707302.910632108,4857455.795142319,4834897.433736867,4919589.657306333,4895486.730811489,4899472.0140504325,4723203.866280246,4397942.492295211,4696168.086058039,4663517.684969469,4709206.643807172,4703816.669254536,4604014.267195713,4689737.569878286,4645419.640036553,4733692.225268287,4696747.252546003,4662362.33234734,4674299.838867402,4904000.0,4987000.0
9,4831941.5151916845,4868458.8465913795,4840526.980493251,4837347.518214366,4855229.646748578,4707302.910632108,4857455.795142319,4834897.433736867,4919589.657306333,4895486.730811489,4899472.0140504325,4723203.866280246,4397942.492295211,4696168.086058039,4663517.684969469,4709206.643807172,4703816.669254536,4476816.571459705,4689737.569878286,4645419.640036553,4731326.561987293,4673428.97529816,4660032.316189245,4727676.835396066,4887000.0,4894000.0
10,4829526.751815776,4866025.833674543,4838107.926529987,4834930.053187773,4852803.2451260155,4704950.435414401,4855028.281001818,4832481.193140297,4917131.091760453,4893040.210706136,4897023.502299283,4720843.444557967,4395744.619985218,4693821.175470304,4661187.091423756,4706853.217198572,4701465.936286393,4474579.281818795,4687393.872941815,4643098.090991057,4771576.858848437,4671093.428583868,4633409.369278732,4749599.530398911,4928000.0,4927000.0
11,4902048.054501322,4923180.45059498,4883095.386530063,4840822.716262956,4813306.384924785,4723948.821989868,4883483.378040834,4820336.725046157,4923079.234210163,4948654.225684732,4904899.696110781,4781905.283776178,4387368.598371544,4715639.665170348,4696042.370805867,4711590.38831089,4671958.100708399,4491817.117657108,4677576.516701646,4589992.079190487,4784993.624468817,4686140.2364875,4631093.822367548,4742461.310273854,5002000.0,4983000.0
12,4860415.9266718,4901020.2260207245,4895809.233921389,4924302.10982805,4810900.934457556,4718738.514471547,4922731.787749822,4817927.761165574,4961742.16013328,5009233.777714989,4942311.6167154005,4788583.9224406695,4385176.010366361,4794375.954087897,4715825.096941658,4741908.283429721,4669623.289063867,4569841.006188417,4675238.89725302,4587698.23007545,4820452.219322682,4753850.872053846,4693187.735935414,4740091.264641534,4962000.0,5044000.0
13,4857986.933205198,4898570.940550449,5016101.7900085505,5086350.344395587,5005388.281164308,4716380.324309392,5061082.431974005,5019563.369681155,5171909.860023041,5186006.896754098,5180566.479513234,5050959.012831422,4561521.242161997,5004023.18120571,4905174.047098525,4953186.115039078,4850226.741631329,4777602.290765973,4893621.155423256,4796436.230652572,5073454.085307014,4980493.416102308,4910053.046008259,4962868.065783849,5183000.0,5222000.0
14,5064191.279202717,5059210.805499056,5247885.007835032,5382947.719179805,5345015.438846247,5083179.490564447,5556593.604549979,5386966.7140436815,5422723.199985822,5431304.427106121,5499552.32887893,5288527.731039776,4849059.526518428,5236437.528010525,5216045.457803828,5245943.289780293,5214226.483661626,5048871.391589942,5127801.279078147,5030585.813908649,5328372.6320942575,5186446.599283276,5136186.104374816,5204365.606517956,5403000.0,5469000.0
15,5126052.583001973,5230245.014650219,5419032.953487499,5491961.9860706935,5376946.197260789,5126063.970201232,5503798.606229934,5394721.929755819,5438584.91318505,5494863.301367374,5416111.931639913,5246785.285295463,4769359.7343561705,5178826.280272553,5194606.163862808,5226275.029039063,5101822.711660729,5032744.942535942,5168689.872097256,5055089.840063354,5309424.8048468735,5197731.7052110005,5125281.20834502,5179309.768648302,5469000.0,5533000.0
